,Company,Test R2,Test MSE,Sector,Highest Difference,Highest Difference Percentage,Average Difference,Average Difference Percentage,Model,Evaluation
0,ABDA,0.9994879121911667,4892.286183806245,Financials,1450.8339839265718,29.83444043503433,2.2840902009252377,0.1411256630571711,Simple Linear Regression,Intra-Sector
0,ADMF,0.9995637253424602,4821.170126546506,Financials,1301.4638705209018,19.20329347724089,1.94639039832054,0.04016269179508413,Simple Linear Regression,Intra-Sector
0,AGRO,0.9972499158963096,406.64886163994447,Financials,284.00992848387295,26.16424158919496,-1.0704085494056585,-0.16808365387185176,Simple Linear Regression,Intra-Sector
0,AGRS,0.9863945627133858,95.88110126405037,Financials,129.70125587725448,25.542392045093415,-0.39344456297473596,-0.2916492311157379,Simple Linear Regression,Intra-Sector
0,AHAP,0.9839140749393972,7.530623961369343,Financials,31.903168311277938,29.100892243175338,0.02577693102777674,0.01311402703233116,Simple Linear Regression,Intra-Sector
0,AMAG,0.9964600949143674,47.18996325090798,Financials,76.035189195214,29.587377238088454,0.2970933286048731,0.12281275389114175,Simple Linear Regression,Intra-Sector
0,AMAR,0.934410218106934,341.52799107160575,Financials,172.8603021720195,24.45507772944408,-0.12964563915894584,-0.20049016210568568,Simple Linear Regression,Intra-Sector
0,AMOR,0.9898738937240046,1165.869586925379,Financials,175.15483245894166,13.737633918348365,-1.5632948734660341,-0.1241459284528651,Simple Linear Regression,Intra-Sector
0,APIC,0.9987391933414012,184.2456620391383,Financials,196.03424130751944,33.34271938660358,0.350232056221214,0.14198613046786854,Simple Linear Regression,Intra-Sector
0,ARTO,0.998311248462394,42225.00808362203,Financials,1425.9923353050344,25.651491731867708,-3.3822386880163533,-0.2204880380853732,Simple Linear Regression,Intra-Sector
0,ASBI,0.9942326722087564,108.6759184029077,Financials,130.10134488221638,25.81689485793448,0.41733713613021733,0.08233759781071733,Simple Linear Regression,Intra-Sector
0,ASDM,0.9990424367808363,31.85281045209672,Financials,120.06369244333735,25.010556758564196,0.28061212481241493,0.0952500853289304,Simple Linear Regression,Intra-Sector
0,ASJT,0.9823087222376377,161.273733588459,Financials,187.625836863397,100.0,-0.01656233019191725,-1.113154399092915,Simple Linear Regression,Intra-Sector
0,ASMI,0.9988564959710599,162.37355422649398,Financials,190.14638705209018,30.873928863861654,0.3320548749471531,0.021495645593443233,Simple Linear Regression,Intra-Sector
0,ASRM,0.9990215873664783,227.5353783733784,Financials,345.2322486884125,22.5640879755926,1.335632190533528,0.10507646136594653,Simple Linear Regression,Intra-Sector
0,BABP,0.9952584487056207,7.0099387158858795,Financials,36.21278952357302,36.372594891535854,-0.11081980402407501,-0.08579067853460273,Simple Linear Regression,Intra-Sector
0,BACA,0.9948107012504572,58.12945727341711,Financials,166.06953384974287,25.162050583294377,0.09427457169707242,0.009006496022525462,Simple Linear Regression,Intra-Sector
0,BANK,0.9905533138159301,4039.194203045312,Financials,302.4835655433178,19.348365549050047,-3.000474057885767,-0.19663733507033657,Simple Linear Regression,Intra-Sector
0,BBCA,0.9996121021886025,2978.905216853729,Financials,630.6545190309807,12.512316218324896,0.54166190910304,0.03239047309525906,Simple Linear Regression,Intra-Sector
0,BBHI,0.9974604508877299,5280.306190715874,Financials,1100.8023136508791,25.936354708569176,-1.3842787484092163,-0.013216871157354076,Simple Linear Regression,Intra-Sector
0,BBKP,0.9984499390003999,30.769348427125312,Financials,71.41041576423677,26.260381966206275,-0.44294975581225937,-0.20610509458146173,Simple Linear Regression,Intra-Sector
0,BBLD,0.997633634575017,284.2556035516977,Financials,510.13231137400464,36.37259573454926,0.7522702321445444,0.18066501493955903,Simple Linear Regression,Intra-Sector
0,BBMD,0.9930286567280494,614.841482583502,Financials,510.306849782266,19.50674441056891,2.2159420113005126,0.12392814433294891,Simple Linear Regression,Intra-Sector
0,BBNI,0.9990287282931146,1968.0926986992085,Financials,338.0190406294064,16.405210308292265,-0.6039591709188955,-0.01566431806271632,Simple Linear Regression,Intra-Sector
0,BBRI,0.9994499803935996,1357.2710343349686,Financials,218.64886527426052,11.123620252183226,-1.095330837874052,-0.036462611178093414,Simple Linear Regression,Intra-Sector
0,BBSI,0.990686827403588,17414.669302682934,Financials,1002.3827654646657,19.838870654095928,6.706587248424288,0.2294575574005221,Simple Linear Regression,Intra-Sector
0,BBTN,0.9969474587746658,891.575564042086,Financials,213.59194330572655,11.568006766340824,-1.5155617802470727,-0.13037275127608572,Simple Linear Regression,Intra-Sector
0,BBYB,0.9959234321921953,899.1490031578402,Financials,504.5079886929352,22.705916870492477,-0.9946414005034654,-0.1323641031923602,Simple Linear Regression,Intra-Sector
0,BCAP,0.9977084664040591,13.207591583651329,Financials,51.021817301032684,35.00914830499182,0.06748344074162854,0.050272764262059545,Simple Linear Regression,Intra-Sector
0,BCIC,0.9980231306745958,125.58159609663454,Financials,150.1147167763977,24.500424491615654,-0.7619088812182367,-0.4214864197962071,Simple Linear Regression,Intra-Sector
0,BDMN,0.9970507734640007,8071.803601052461,Financials,725.7037839042805,16.678394653643537,-1.16942677712009,-0.039658601804488124,Simple Linear Regression,Intra-Sector
0,BEKS,0.9972003085959009,2.4885208782541737,Financials,43.37930766754667,30.40195917143242,0.034498070505093244,0.14581640669956394,Simple Linear Regression,Intra-Sector
0,BFIN,0.998781069589165,168.9325814572016,Financials,165.1435719164731,23.344124686532293,-0.4703371308651231,0.056780589651307306,Simple Linear Regression,Intra-Sector
0,BGTG,0.9887554090437304,22.190303845621283,Financials,29.66777087609539,25.010559448694718,-0.5587738679524892,-0.42291229474785125,Simple Linear Regression,Intra-Sector
0,BHAT,0.9973803686407546,115.6195247976712,Financials,75.0893805558436,13.115679554750242,0.6555164684449543,0.11363130130559432,Simple Linear Regression,Intra-Sector
0,BINA,0.9986635477657202,3291.571265237556,Financials,670.447606563122,20.920223490849523,2.61422677771674,0.1374174187722059,Simple Linear Regression,Intra-Sector
0,BJBR,0.9948335776328419,1198.2858548016068,Financials,548.8234588188852,18.655514263000512,-1.6308709834096686,-0.1354558663443978,Simple Linear Regression,Intra-Sector
0,BJTM,0.9942282525431606,97.32990176694487,Financials,85.07600866166229,13.612161385865965,-0.7359562731223666,-0.12889930385850004,Simple Linear Regression,Intra-Sector
0,BKSW,0.9952258421592517,50.910192796521194,Financials,83.34130006219232,32.44194695173974,0.0317636199597862,0.0793295070589688,Simple Linear Regression,Intra-Sector
0,BMAS,0.9951697467698889,242.11882099922738,Financials,205.1273848866747,25.534958517986933,0.13626069079522707,0.1295002792493107,Simple Linear Regression,Intra-Sector
0,BMRI,0.9992522056287114,1765.6619156773309,Financials,275.93603259269275,14.45054564275102,-0.16158305754618915,0.03198644936613531,Simple Linear Regression,Intra-Sector
0,BNBA,0.9959847461845887,998.7731878358874,Financials,605.9496189675483,33.34271681705566,0.27526921816459143,0.1750746237242774,Simple Linear Regression,Intra-Sector
